dataset,seed,new,old
cicids2017,12345,0.8376865671641791,0.8376865671641791
cicids2017,12345,0.8438095238095238,0.8438095238095238
cicids2017,12345,0.8393501805054152,0.8393501805054152
cicids2017,12345,0.8069852941176471,0.8069852941176471
cicids2017,1337,0.9135802469135802,0.9135802469135802
cicids2017,1337,0.9023090586145648,0.9023090586145648
cicids2017,1337,0.8848263254113345,0.8848263254113345
cicids2017,1337,0.9005328596802842,0.9005328596802842
cicids2017,1337,0.8948306595365418,0.8948306595365418
cicids2017,1337,0.9072727272727272,0.9072727272727272
cicids2017,1337,0.9289520426287744,0.9289520426287744
cicids2017,1337,0.8913043478260869,0.8932806324110671
cicids2017,1337,0.9072727272727272,0.9072727272727272
cicids2017,1337,0.8856152512998267,0.8856152512998267
cicids2017,2024,0.8948339483394834,0.8948339483394834
cicids2017,2024,0.8848920863309353,0.8848920863309353
cicids2017,2024,0.8650088809946714,0.8650088809946714
cicids2017,2024,0.8623188405797102,0.8623188405797102
cicids2017,2024,0.8790613718411552,0.8790613718411552
cicids2017,2024,0.842,0.842
cicids2017,2024,0.8987108655616943,0.8987108655616943
cicids2017,2024,0.8938848920863309,0.89568345323741
cicids2017,2024,0.878731343283582,0.878731343283582
cicids2017,2024,0.9035714285714286,0.9035714285714286
cicids2017,3407,0.8813868613138686,0.8813868613138686
cicids2017,3407,0.9092592592592592,0.9092592592592592
cicids2017,3407,0.896551724137931,0.896551724137931
cicids2017,3407,0.8817391304347826,0.8817391304347826
cicids2017,3407,0.8729281767955801,0.8729281767955801
cicids2017,3407,0.9072356215213359,0.9072356215213359
cicids2017,3407,0.9084745762711864,0.9084745762711864
cicids2017,3407,0.9127272727272727,0.9127272727272727
cicids2017,3407,0.8878676470588235,0.8878676470588235
cicids2017,3407,0.8923933209647495,0.8923933209647495
cicids2017,42,0.8765652951699463,0.8765652951699463
cicids2017,42,0.9113207547169812,0.9113207547169812
cicids2017,42,0.9251824817518248,0.9251824817518248
cicids2017,42,0.9230769230769231,0.9230769230769231
cicids2017,42,0.9096153846153846,0.9096153846153846
cicids2017,42,0.9040307101727447,0.9040307101727447
cicids2017,42,0.8998109640831758,0.8998109640831758
cicids2017,42,0.9180327868852459,0.9180327868852459
cicids2017,42,0.9191729323308271,0.9191729323308271
cicids2017,42,0.9230769230769231,0.9230769230769231
cicids2017,512,0.9177101967799642,0.9177101967799642
cicids2017,512,0.9090909090909091,0.9090909090909091
cicids2017,512,0.8933566433566433,0.8933566433566433
cicids2017,512,0.900709219858156,0.900709219858156
cicids2017,512,0.8917431192660551,0.8917431192660551
cicids2017,512,0.9023508137432188,0.9023508137432188
cicids2017,512,0.9217877094972067,0.9236499068901304
cicids2017,512,0.8955223880597015,0.8955223880597015
