dataset,rung,class,arch,seed,realization,q_src,F_src_at_q,F_tgt_at_q,signed_displacement_at_q,calibration_slack,undercoverage,KS_two_sided,KS_location,one_sided_up,one_sided_down,tail_mass_above_q_target,quantile_displacement,frac_of_KS_realised_at_q,n_src,n_tgt
ciciot2023,0.8,Mirai,xgb,6021,1,0.5,0.9997889516171582,0.9998624294951163,-7.347787795808358e-05,-0.04978895161715824,-0.04986242949511632,0.0004900799529753196,0.49884259700775146,0.000167671538163599,0.0004900799529753196,0.0001375705048837217,0.0,0.14993038893346436,18953,7269
ciciot2023,0.8,Recon,xgb,6021,1,0.5532817542552948,0.9500759054435046,0.9522558537978298,-0.002179948354325223,-7.590544350466466e-05,-0.0022558537978298876,0.006322353084849991,0.4320693910121918,0.005507823332603801,0.006322353084849991,0.04774414620217016,-0.02382866442203524,0.3448001598564542,23055,8755
ciciot2023,0.8,Spoofing,xgb,6021,1,0.8043636381626129,0.9501391650099403,0.9470600544046872,0.0030791106052531214,-0.0001391650099403785,0.002939945595312743,0.01095808076837157,0.626669317483902,0.01095808076837157,0.008728112596652765,0.05293994559531279,0.006614945083855961,0.28098995347254535,12575,4779
ciciot2023,0.8,Web,xgb,6021,1,0.9605380687862635,0.9508196721311475,0.93711467324291,0.013704998888237507,-0.0008196721311475308,0.012885326757089977,0.08806833440659317,0.48740795254707336,0.045493319318388514,0.08806833440659317,0.06288532675709002,0.005342311225831509,0.15561778226626133,2135,811
ciciot2023,0.8,Benign,xgb,6021,2,0.8988344334065914,0.9501508175900937,0.9576874738165061,-0.007536656226412419,-0.00015081759009372142,-0.007687473816506141,0.010386870246858249,0.49771174788475037,0.010386870246858249,0.008864029261532291,0.042312526183493904,-0.0176526822149754,0.7255945291789947,6299,2387
ciciot2023,0.8,BruteForce,xgb,6021,2,0.9841743856668472,0.9511305616338439,0.9402985074626866,0.01083205417115729,-0.0011305616338439517,0.009701492537313339,0.05884962496053647,0.6800925731658936,0.05884962496053647,0.008529562254373645,0.05970149253731338,0.0017348206602036953,0.1840632659667938,1371,536
ciciot2023,0.8,DDoS,xgb,6021,2,0.5,0.9995618902973304,0.9996165938194924,-5.470352216196961e-05,-0.04956189029733049,-0.04961659381949246,0.000292217592725292,0.4944169223308563,3.46776657274951e-05,0.000292217592725292,0.0003834061805075839,0.0,0.18720133052836183,68476,26082
ciciot2023,0.8,DoS,xgb,6021,2,0.5,0.999484433868729,0.9994692144373672,1.521943136173487e-05,-0.04948443386872903,-0.04946921443736729,0.0007951995008531722,0.4986172616481781,0.0007951995008531722,0.00022993340077878005,0.0005307855626327518,0.0,0.019139135959474182,25215,9420
ciciot2023,0.8,Mirai,xgb,6021,2,0.5,0.9997889516171582,0.9998617638927287,-7.281227557054404e-05,-0.04978895161715824,-0.04986176389272878,0.0003039108382724193,0.49847614765167236,0.0003039108382724193,0.0002215949670824769,0.00013823610727126123,0.0,0.23958433330132384,18953,7234
ciciot2023,0.8,Recon,xgb,6021,2,0.5532817542552948,0.9500759054435046,0.9511946551919375,-0.0011187497484328457,-7.590544350466466e-05,-0.0011946551919375104,0.010046414587951358,0.49909427762031555,0.010046414587951358,0.002189203511878901,0.048805344808062534,-0.01241283118724823,0.11135811076068469,23055,8831
ciciot2023,0.8,Spoofing,xgb,6021,2,0.8043636381626129,0.9501391650099403,0.948286869546712,0.0018522954632282929,-0.0001391650099403785,0.0017131304532879144,0.015351703357213614,0.47128939628601074,0.00398941105442252,0.015351703357213614,0.05171313045328796,0.008155609294771993,0.12065732512724182,12575,4699
ciciot2023,0.8,Web,xgb,6021,2,0.9605380687862635,0.9508196721311475,0.9482120838471023,0.0026075882840451703,-0.0008196721311475308,0.0017879161528976395,0.1118490775259387,0.48950016498565674,0.025963262748450067,0.1118490775259387,0.051787916152897684,0.0005081770941615105,0.023313453644179135,2135,811
ciciot2023,0.8,Benign,xgb,6021,3,0.8988344334065914,0.9501508175900937,0.9521162890123984,-0.001965471422304743,-0.00015081759009372142,-0.0021162890123984646,0.013922145802305441,0.4976106286048889,0.013922145802305441,0.007814917451625658,0.04788371098760158,-0.0035176306962967363,0.1411758970358772,6299,2339
ciciot2023,0.8,BruteForce,xgb,6021,3,0.9841743856668472,0.9511305616338439,0.96,-0.008869438366156057,-0.0011305616338439517,-0.010000000000000009,0.04016577150056355,0.6800925731658936,0.04016577150056355,0.017632782971951477,0.040000000000000036,-0.0044152748771012496,0.22082081421071703,1371,550
ciciot2023,0.8,DDoS,xgb,6021,3,0.5,0.9995618902973304,0.9994984954864594,6.339481087103138e-05,-0.04956189029733049,-0.04949849548645946,0.00010357655666384,0.49456286430358887,0.00010357655666384,8.078376501889921e-05,0.0005015045135405849,0.0,0.612057524530195,68476,25922
ciciot2023,0.8,DoS,xgb,6021,3,0.5,0.999484433868729,0.9997886728655959,-0.00030423899686693456,-0.04948443386872903,-0.04978867286559596,0.0015155797085051647,0.4986252784729004,0.00031783299298056994,0.0015155797085051647,0.00021132713440408235,0.0,0.2007410069952766,25215,9464
ciciot2023,0.8,Mirai,xgb,6021,3,0.5,0.9997889516171582,0.9997271487039563,6.180291320190268e-05,-0.04978895161715824,-0.049727148703956336,0.00017110610874937352,0.49847614765167236,0.00017110610874937352,0.000167327104622773,0.00027285129604370795,0.0,0.3611964158008412,18953,7330
ciciot2023,0.8,Recon,xgb,6021,3,0.5532817542552948,0.9500759054435046,0.9550318761384335,-0.004955970694928924,-7.590544350466466e-05,-0.005031876138433589,0.009396957619756952,0.49973276257514954,0.009396957619756952,0.006463621086662541,0.044968123861566456,-0.0532817542552948,0.5274016224686462,23055,8784
ciciot2023,0.8,Spoofing,xgb,6021,3,0.8043636381626129,0.9501391650099403,0.9522916666666666,-0.0021525016567263133,-0.0001391650099403785,-0.002291666666666692,0.015597664015904567,0.49777302145957947,0.0023206593770709076,0.015597664015904567,0.04770833333333335,-0.008230705559253648,0.1380015401364883,12575,4800
ciciot2023,0.8,Web,xgb,6021,3,0.9605380687862635,0.9508196721311475,0.9346485819975339,0.01617109013361362,-0.0008196721311475308,0.015351418002466088,0.10390618457566769,0.4886254370212555,0.039921223689492025,0.10390618457566769,0.06535141800246613,0.005243852734565735,0.15563164213615535,2135,811
ciciot2023,0.8,Benign,xgb,6021,4,0.8988344334065914,0.9501508175900937,0.9538775510204082,-0.0037267334303144883,-0.00015081759009372142,-0.0038775510204082098,0.013303958192262377,0.7731368541717529,0.004630666999296956,0.013303958192262377,0.046122448979591835,-0.013991938717663355,0.28012215435869064,6299,2450
ciciot2023,0.8,BruteForce,xgb,6021,4,0.9841743856668472,0.9511305616338439,0.9658444022770398,-0.014713840643195919,-0.0011305616338439517,-0.01584440227703987,0.034500226292253355,0.941260602325201,0.02080643085214605,0.034500226292253355,0.034155597722960174,-0.00637221354991202,0.4264853371845781,1371,527
ciciot2023,0.8,DDoS,xgb,6021,4,0.5,0.9995618902973304,0.9996906897618311,-0.0001287994645006174,-0.04956189029733049,-0.04969068976183111,0.00021402736294348434,0.47745481133461,7.301828377825808e-05,0.00021402736294348434,0.0003093102381689361,0.0,0.6017897091720368,68476,25864
ciciot2023,0.8,DoS,xgb,6021,4,0.5,0.999484433868729,0.9996891191709845,-0.00020468530225548065,-0.04948443386872903,-0.04968911917098451,0.000680592500351896,0.3913043439388275,0.000680592500351896,0.0003083122452606224,0.00031088082901553626,0.0,0.30074575043017576,25215,9650
ciciot2023,0.8,Mirai,xgb,6021,4,0.5,0.9997889516171582,1.0,-0.00021104838284180527,-0.04978895161715824,-0.050000000000000044,0.0005145096168329398,0.49884259700775146,0.0002484083366939736,0.0005145096168329398,0.0,0.0,0.4101932712957088,18953,7163
ciciot2023,0.8,Recon,xgb,6021,4,0.5532817542552948,0.9500759054435046,0.9508401453224341,-0.0007642398789294846,-7.590544350466466e-05,-0.0008401453224341493,0.012407422837344917,0.49958324432373047,0.012407422837344917,0.0021264308722713787,0.049159854677565895,-0.011453849822282924,0.06159537632820979,23055,8808
ciciot2023,0.8,Spoofing,xgb,6021,4,0.8043636381626129,0.9501391650099403,0.9481700867357732,0.0019690782741671464,-0.0001391650099403785,0.001829913264226768,0.023752690121172704,0.4998451769351959,0.023752690121172704,0.005663787530791567,0.05182991326422681,0.004258000105619386,0.08289916906767318,12575,4727
ciciot2023,0.8,Web,xgb,6021,4,0.9605380687862635,0.9508196721311475,0.9432799013563502,0.007539770774797283,-0.0008196721311475308,0.006720098643649752,0.09340768184535247,0.496082603931427,0.029043277879970075,0.09340768184535247,0.0567200986436498,0.0024902494624257088,0.08071895828953629,2135,811
ciciot2023,0.8,Benign,xgb,7,0,0.897229015827179,0.9501508175900937,0.947434819175778,0.00271599841431569,-0.00015081759009372142,0.0025651808242219687,0.022112858903605315,0.4997390806674957,0.022112858903605315,0.004289799427492635,0.05256518082422201,0.003322216868400729,0.12282439037644606,6299,2378
ciciot2023,0.8,BruteForce,xgb,7,0,0.986702274531126,0.9511305616338439,0.9452296819787986,0.005900879655045266,-0.0011305616338439517,0.004770318021201314,0.04984626011294019,0.49841272830963135,0.017605987736892148,0.04984626011294019,0.05477031802120136,0.0004907213151454926,0.11838159255429045,1371,566
ciciot2023,0.8,DDoS,xgb,7,0,0.5,0.99966411589462,0.9998843574126899,-0.0002202415180698747,-0.04966411589462005,-0.04988435741268993,0.00026812926276531535,0.7895984947681427,8.488495112885311e-05,0.00026812926276531535,0.00011564258731011634,0.0,0.821400528231955,68476,25942
ciciot2023,0.8,DoS,xgb,7,0,0.5,0.9991671624033314,0.9994870742716455,-0.00031991186831414886,-0.04916716240333141,-0.04948707427164556,0.001416061509915018,0.4991918206214905,0.001416061509915018,0.0004759071980964258,0.0005129257283544852,0.0,0.22591664703417277,25215,9748
ciciot2023,0.8,Mirai,xgb,7,0,0.5,0.9997889516171582,0.9998602961721151,-7.134455495694247e-05,-0.04978895161715824,-0.04986029617211518,0.00014268910991376487,0.4988613426685333,0.00014268910991376487,0.00010552419142084712,0.0001397038278848628,0.0,0.5000000000004208,18953,7158
ciciot2023,0.8,Recon,xgb,7,0,0.5544160008430481,0.9501192799826502,0.9516409602226603,-0.0015216802400100926,-0.00011927998265026662,-0.0016409602226603592,0.004205826297671744,0.49943867325782776,0.004205826297671744,0.00391124864071013,0.048359039777339685,-0.04246120974421519,0.361802921069865,23055,8623
ciciot2023,0.8,Spoofing,xgb,7,0,0.7981508821249008,0.9501391650099403,0.9522413070800168,-0.002102142070076418,-0.0001391650099403785,-0.0022413070800167967,0.006384466556338564,0.49847084283828735,0.006384466556338564,0.006160873052426963,0.04775869291998325,-0.007547543197870432,0.3292588427751086,12575,4774
ciciot2023,0.8,Web,xgb,7,0,0.9591958019882441,0.9508196721311475,0.9445129469790382,0.006306725152109283,-0.0008196721311475308,0.005487053020961752,0.1074112683621285,0.49610763788223267,0.024737147592962083,0.1074112683621285,0.055487053020961796,0.001501062884926796,0.05871567525714959,2135,811
ciciot2023,0.8,Benign,xgb,7,1,0.897229015827179,0.9501508175900937,0.9561621174524401,-0.0060112998623463865,-0.00015081759009372142,-0.006162117452440108,0.021011383245019888,0.4698672890663147,0.021011383245019888,0.01141961824917137,0.043837882547559937,-0.023785954341292048,0.2860972927030486,6299,2418
ciciot2023,0.8,BruteForce,xgb,7,1,0.986702274531126,0.9511305616338439,0.9585921325051759,-0.007461570871332035,-0.0011305616338439517,-0.008592132505175987,0.03869415714149804,0.881677646189928,0.005952947252538143,0.03869415714149804,0.04140786749482406,-0.004924941435456298,0.1928345626975753,1371,483
ciciot2023,0.8,DDoS,xgb,7,1,0.5,0.99966411589462,0.9995754534928599,8.866240176008677e-05,-0.04966411589462005,-0.04957545349285997,0.00025244091865489265,0.49979689717292786,0.00025244091865489265,6.989013653802001e-05,0.0004245465071400778,0.0,0.3512204052834062,68476,25910
ciciot2023,0.8,DoS,xgb,7,1,0.5,0.9991671624033314,0.9994778067885117,-0.00031064438518035864,-0.04916716240333141,-0.04947780678851177,0.000927874068908173,0.4991918206214905,0.000927874068908173,0.0005790618436019424,0.0005221932114882755,0.0,0.3347915364699146,25215,9575
ciciot2023,0.8,Mirai,xgb,7,1,0.5,0.9997889516171582,0.9998624294951163,-7.347787795808358e-05,-0.04978895161715824,-0.04986242949511632,0.0005862188933639283,0.49989303946495056,5.276209571044162e-05,0.0005862188933639283,0.0001375705048837217,0.0,0.12534205019637273,18953,7269
ciciot2023,0.8,Recon,xgb,7,1,0.5544160008430481,0.9501192799826502,0.9515705311250714,-0.0014512511424211727,-0.00011927998265026662,-0.0015705311250714393,0.007393761175724961,0.4404085576534271,0.005041057803695181,0.007393761175724961,0.048429468874928605,-0.03470197767019423,0.19628050026634475,23055,8755
ciciot2023,0.8,Spoofing,xgb,7,1,0.7981508821249008,0.9501391650099403,0.9462230592174095,0.003916105792530877,-0.0001391650099403785,0.003776940782590499,0.009303725668587282,0.540933832526207,0.009303725668587282,0.008618021937427556,0.05377694078259054,0.010511016845703103,0.42091802058965005,12575,4779
ciciot2023,0.8,Web,xgb,7,1,0.9591958019882441,0.9508196721311475,0.9408138101109741,0.010005862020173395,-0.0008196721311475308,0.009186189889025864,0.07819068602962193,0.49614962935447693,0.046085874263998794,0.07819068602962193,0.05918618988902591,0.005206683650612831,0.12796744124207776,2135,811
ciciot2023,0.8,Benign,xgb,7,2,0.897229015827179,0.9501508175900937,0.9534981147884374,-0.0033472971983437017,-0.00015081759009372142,-0.003498114788437423,0.00980239513749695,0.3815280497074127,0.007682974528710418,0.00980239513749695,0.04650188521156262,-0.005473662912846011,0.3414774809004932,6299,2387
ciciot2023,0.8,BruteForce,xgb,7,2,0.986702274531126,0.9511305616338439,0.9309701492537313,0.02016041238011257,-0.0011305616338439517,0.019029850746268617,0.046896262669148814,0.8014692775905132,0.046896262669148814,0.009007206854131977,0.06902985074626866,0.002750869607552886,0.4298937960652311,1371,536
ciciot2023,0.8,DDoS,xgb,7,2,0.5,0.99966411589462,0.9996932750555939,-2.91591609739017e-05,-0.04966411589462005,-0.049693275055593955,0.00021548820408634614,0.4112752377986908,0.0001440365575139126,0.00021548820408634614,0.00030672494440608933,0.0,0.13531673855436477,68476,26082
