arch,seed,cls,n_cal,q_source,cal_median,tgt_median,frac_tgt_above_q,tgt_p01,tgt_frac_near1
mlp,42,R2L,149,0.9965204228726657,0.5521822602589974,0.9999469424607872,0.8696707105719237,0.38799187249235034,0.8547660311958406
mlp,42,U2R,7,inf,0.6994105471536667,0.9847172137103332,0.0,0.06080724144178698,0.417910447761194
mlp,512,Normal,10101,0.9519195293479297,0.4959669179325119,0.521048916940814,0.06611059623107816,0.009588030486665821,0.019668417258778704
mlp,512,DoS,6889,0.9482042649022175,0.49728871841361644,0.5914102517993803,0.21595174262734584,0.010593155192656764,0.1284182305630027
mlp,512,Probe,1748,0.937150349306088,0.4849061849522726,0.7223473753657194,0.3184634448574969,0.012657438088492526,0.1875258157786039
mlp,512,R2L,149,0.9804704815329502,0.510771083875282,0.9999999422588166,0.8793760831889081,0.06739473689863301,0.8672443674176776
mlp,512,U2R,7,inf,0.5626909311402928,0.9970102664378453,0.0,0.22917371814776014,0.34328358208955223
mlp,6021,Normal,10101,0.9493519170241753,0.5011269127688271,0.5201006208812575,0.06899392441561117,0.010667954388908375,0.015240448975388735
mlp,6021,DoS,6889,0.9510959079948408,0.5081606867532312,0.6232307988168861,0.23699731903485255,0.012270139975674894,0.11018766756032172
mlp,6021,Probe,1748,0.9476568246585109,0.5105825207599044,0.7489334566613836,0.32837670384138784,0.0157308242865571,0.19867823213548122
mlp,6021,R2L,149,0.9914761750538501,0.565146127085369,0.9998981727010963,0.832582322357019,0.19711300992706143,0.8107452339688042
mlp,6021,U2R,7,inf,0.39601326277896853,0.9955682643484625,0.0,0.10215101653536171,0.373134328358209
mlp,7,Normal,10101,0.945377613773119,0.4988550628240499,0.5057978014025232,0.07249510863968696,0.009807604255798512,0.017094017094017096
mlp,7,DoS,6889,0.9463898699296326,0.5014674957336289,0.5712564201239385,0.18579088471849867,0.009665833585207671,0.10777479892761394
mlp,7,Probe,1748,0.9446124522974886,0.48682417944742123,0.7726214236731426,0.37835605121850474,0.01446817854028135,0.13919867823213547
mlp,7,R2L,149,0.9906336454307783,0.4220578402553586,0.9999831016892896,0.858578856152513,0.727905201792447,0.8523396880415944
mlp,7,U2R,7,inf,0.44095411979549953,0.9992986746132679,0.0,0.061060853393902235,0.5522388059701493
mlp,88,Normal,10101,0.9537728656035915,0.5023224232160526,0.5036562616973338,0.0642570281124498,0.009100491250594145,0.02049222531150242
mlp,88,DoS,6889,0.947834675916842,0.4946997588651457,0.6016888922791266,0.20536193029490615,0.010540010064630905,0.11890080428954423
mlp,88,Probe,1748,0.9474575021846935,0.5138435789712271,0.7973547373841311,0.3667905824039653,0.01765351255891536,0.2308963238331268
mlp,88,R2L,149,0.9855424785647193,0.4942867302970759,1.0000000000000375,0.8856152512998267,0.5965343555632661,0.8564991334488735
mlp,88,U2R,7,inf,0.5870033810848588,0.9974750633020172,0.0,0.08204794941012619,0.40298507462686567
mlp,91,Normal,10101,0.9493985535625248,0.5085805577387199,0.5069115466115081,0.07064154052105859,0.009765609749612277,0.018432705179693133
mlp,91,DoS,6889,0.9501480594605526,0.5040902196326138,0.5812640859320526,0.20013404825737266,0.010984844130484337,0.11246648793565683
mlp,91,Probe,1748,0.9512094484285528,0.5099192268412057,0.7813203143323416,0.34242048740190006,0.01632977102929563,0.16067740603056588
mlp,91,R2L,149,0.997214857760715,0.549556618592722,0.9999658194726662,0.7934142114384749,0.14683455165227,0.7892547660311958
mlp,91,U2R,7,inf,0.5782109966898215,0.9994908612787442,0.0,0.06812232475590241,0.582089552238806
rf,12345,Normal,10101,0.948188143768791,0.4942224786986434,0.5080915955146671,0.07362784471218206,0.009904237143373832,0.02450828956853053
rf,12345,DoS,6889,0.9515092054150478,0.5068524784028843,0.6456254306787479,0.22037533512064345,0.014273140541525965,0.17278820375335122
rf,12345,Probe,1748,0.9471129747892115,0.49750477455488495,0.6652806133028488,0.1928954977282115,0.012696359730496997,0.11482858323007022
rf,12345,R2L,149,0.9864243154967793,0.5234459494222533,0.9999695401560525,0.9178509532062392,0.11601760672834688,0.9161178509532062
rf,12345,U2R,7,inf,0.8458849496666886,0.9739576769109923,0.0,0.018810086199568563,0.3880597014925373
rf,1337,Normal,10101,0.94713102011845,0.5045693013025586,0.5233881750297238,0.0778498609823911,0.00970539601376047,0.02471424158171146
rf,1337,DoS,6889,0.9481191809665969,0.5026772728033675,0.6188072880251174,0.22265415549597856,0.011152211719317738,0.17439678284182306
rf,1337,Probe,1748,0.9457498358642433,0.4949659856098324,0.6120319786708495,0.2057001239157373,0.010855720093443244,0.11152416356877323
rf,1337,R2L,149,0.9946840000214862,0.488053206015028,0.9992238400883453,0.9258232235701906,0.17265996279386733,0.5331022530329289
rf,1337,U2R,7,inf,0.8447743322064581,0.9603497183636988,0.0,0.14579973171153512,0.34328358208955223
rf,2024,Normal,10101,0.947396350067623,0.5036823918469728,0.5100046045259328,0.07249510863968696,0.009827521974899691,0.024096385542168676
rf,2024,DoS,6889,0.9455627007707892,0.49251394784710945,0.6423521776528727,0.22587131367292226,0.01555883211683322,0.17439678284182306
rf,2024,Probe,1748,0.9482329135363986,0.4917803859900333,0.6209739613387196,0.19330855018587362,0.010678494626039425,0.1284593143329203
rf,2024,R2L,149,0.9941956724921546,0.526919770360677,0.9994544632580108,0.9251299826689775,0.16619795455239994,0.6772963604852686
rf,2024,U2R,7,inf,0.7599398111908532,0.9847349031439913,0.0,0.22979538872251234,0.40298507462686567
rf,3407,Normal,10101,0.946859925505173,0.5011394675532354,0.5119889842709738,0.0752754608176295,0.009960914820985945,0.024817217588301927
rf,3407,DoS,6889,0.9489935576078506,0.49474874032296856,0.6338410894262039,0.22037533512064345,0.011855575159317839,0.17466487935656835
rf,3407,Probe,1748,0.9411194353164054,0.49708437257955845,0.6656010781493936,0.2073523337463858,0.017177811802369162,0.08467575382073524
rf,3407,R2L,149,0.9738955239321877,0.48933616151917714,0.999567118250398,0.9355285961871751,0.15129577701454072,0.5996533795493935
rf,3407,U2R,7,inf,0.46199463058382084,0.9843791852209611,0.0,0.2238147120259547,0.3582089552238806
rf,42,Normal,10101,0.9484236233235598,0.5031082527766697,0.512468631481974,0.07671712490989599,0.009313304407124813,0.02450828956853053
rf,42,DoS,6889,0.9515603228636436,0.49742107294109705,0.6222035609535157,0.20107238605898123,0.013017211468865385,0.15683646112600536
rf,42,Probe,1748,0.9481533083473808,0.5049796095130659,0.6716206922332111,0.20983064849235852,0.017029637346173687,0.09252375051631558
rf,42,R2L,149,0.9826884796043712,0.5782339546152369,0.9994340779394913,0.9355285961871751,0.1236319615000395,0.6908145580589254
rf,42,U2R,7,inf,0.7339936153913377,0.9741059329791629,0.0,0.20924960081375316,0.3582089552238806
rf,512,Normal,10101,0.9520240457343696,0.49610194491151705,0.5229696090222621,0.0688909484090207,0.009588845541206582,0.024611265575120996
rf,512,DoS,6889,0.9489610931386183,0.49780813872100704,0.622656815645051,0.20978552278820375,0.010593155192656764,0.15415549597855227
rf,512,Probe,1748,0.935504624177863,0.4816677766175102,0.6529644298302876,0.2321354812061132,0.011693648233880185,0.157786038826931
rf,512,R2L,149,0.996942214698481,0.5347238464509366,0.9993371776763262,0.9258232235701906,0.12872590593172348,0.654419410745234
rf,512,U2R,7,inf,0.8541197800843963,0.9803912468862863,0.0,0.6596604964475655,0.3582089552238806
rf,6021,Normal,10101,0.9504759605711881,0.5016468406588218,0.5252325263277002,0.0760992688703532,0.010710759824056993,0.02450828956853053
rf,6021,DoS,6889,0.9513883161929667,0.5079621290939978,0.6195494712676914,0.2087131367292225,0.011911906405068812,0.1733243967828418
rf,6021,Probe,1748,0.9461100925464417,0.5073281320882277,0.630636141870103,0.19372160264353572,0.01312678212673496,0.09252375051631558
rf,6021,R2L,149,0.9978335470678349,0.5169530082017224,0.9991767979058965,0.7861351819757366,0.07870625639655073,0.5379549393414211
rf,6021,U2R,7,inf,0.733132183913746,0.9812254629003089,0.0,0.23801331204079304,0.417910447761194
rf,7,Normal,10101,0.9468067447719166,0.49946434689745056,0.5104292580636441,0.07712902893625785,0.009432707422735564,0.024611265575120996
rf,7,DoS,6889,0.9461940062400087,0.5015872083825894,0.6197530555732609,0.20013404825737266,0.01082943443201128,0.14664879356568364
rf,7,Probe,1748,0.9408577485886327,0.48481301299302065,0.6302727263700928,0.20280875671210244,0.013828074221724686,0.09211069805865345
rf,7,R2L,149,0.9875565550600663,0.47295670794545763,0.9991299004954162,0.931369150779896,0.11763132411532176,0.531369150779896
rf,7,U2R,7,inf,0.4837372558841274,0.9350910055904893,0.0,0.11998508602198349,0.417910447761194
rf,88,Normal,10101,0.9541908194290971,0.503457546129622,0.5059766048538175,0.06477190814540212,0.008983041507449397,0.024611265575120996
rf,88,DoS,6889,0.9489851280306377,0.495038829842262,0.6340416569925138,0.2215817694369973,0.012224658434143052,0.16648793565683645
rf,88,Probe,1748,0.946910033656038,0.5031462644703886,0.6264572298762122,0.18174308137133416,0.010688394181950056,0.09541511771995044
rf,88,R2L,149,0.9939483868777594,0.5223897215519147,0.9991882537871862,0.9369150779896014,0.14885101014175775,0.545580589254766
rf,88,U2R,7,inf,0.5860955982076677,0.9780192609401781,0.0,0.24978607674988543,0.417910447761194
rf,91,Normal,10101,0.9504654142421094,0.5094087974135407,0.5104479115671725,0.07331891669241067,0.010080458950201689,0.024817217588301927
rf,91,DoS,6889,0.9505030627444644,0.504138550404392,0.6093196348055325,0.2029490616621984,0.012136731764357946,0.14919571045576407
rf,91,Probe,1748,0.9498462244556354,0.5067155100528506,0.594069421201101,0.17596034696406443,0.010835446785991429,0.10987195373812474
rf,91,R2L,149,0.9963050966385871,0.5662647684915698,0.9995104789919216,0.9424610051993068,0.20382055788954093,0.7119584055459273
rf,91,U2R,7,inf,0.5727312017314496,0.9636964015047753,0.0,0.07732605456106104,0.373134328358209
xgb,12345,Normal,10101,0.9482387286609538,0.4941245186026626,0.5102739533980551,0.0760992688703532,0.009929272703601418,0.02821542580578725
xgb,12345,DoS,6889,0.9520112688581142,0.506955346770906,0.5952223332095414,0.21353887399463806,0.012018735563797666,0.17479892761394103
xgb,12345,Probe,1748,0.9481131674549582,0.4979220502946976,0.6730247254400914,0.22635274679884346,0.013194508108893176,0.14745972738537794
xgb,12345,R2L,149,0.9753063910644382,0.5097047317925476,0.9996681847544792,0.9032928942807625,0.1578880598126087,0.8987868284228769
xgb,12345,U2R,7,inf,0.8649209430115263,0.9999999589061601,0.0,0.05681375263756369,0.5373134328358209
xgb,1337,Normal,10101,0.9473520901965305,0.5041427786052449,0.5249350066807128,0.08001235712079086,0.009615863429411961,0.027803521779425393
xgb,1337,DoS,6889,0.9484628100489852,0.5027440273980615,0.6155328764454807,0.23873994638069704,0.011152211719317738,0.19142091152815013
xgb,1337,Probe,1748,0.9439281598214733,0.4949659856098324,0.6485657128210403,0.2598099958694754,0.011660458222258495,0.15448161916563405
xgb,1337,R2L,149,0.9808997543643473,0.488053206015028,0.999561365159311,0.8793760831889081,0.17281819070741872,0.8675909878682843
xgb,1337,U2R,7,inf,0.9277291911793125,0.9999999962748406,0.0,0.15076032396742295,0.5373134328358209
xgb,2024,Normal,10101,0.9468142922383925,0.5029205958161669,0.5096819184070803,0.07548141283081042,0.009827521974899691,0.02677376171352075
xgb,2024,DoS,6889,0.9457049135651691,0.4929472803751439,0.6191366814321929,0.22064343163538874,0.015380074267711225,0.17211796246648794
xgb,2024,Probe,1748,0.9482329135363986,0.49372970756931867,0.6692386977126913,0.21933085501858737,0.010678494626039425,0.17224287484510534
xgb,2024,R2L,149,0.9522013132491991,0.5068340313082036,0.999537158633944,0.8759098786828423,0.09450669541157343,0.8495667244367417
xgb,2024,U2R,7,inf,0.8034756058075633,0.992044917290614,0.0,0.1898780579815082,0.47761194029850745
xgb,3407,Normal,10101,0.946521735858307,0.5006429448743563,0.5134875881881593,0.07857069302852436,0.009960914820985945,0.027597569766244466
xgb,3407,DoS,6889,0.9494055773942001,0.4952634419466394,0.6126747045201659,0.2277479892761394,0.01146549340419801,0.18579088471849867
xgb,3407,Probe,1748,0.9411194353164054,0.49686542683093177,0.6463201594747208,0.2255266418835192,0.014512657453878459,0.16852540272614622
xgb,3407,R2L,149,0.9700245901419489,0.47152801830205227,0.9996056977867143,0.9091854419410745,0.1648017572326458,0.8890814558058926
xgb,3407,U2R,7,inf,0.49566849651766764,0.9944870808455677,0.0,0.052422225055604385,0.417910447761194
xgb,42,Normal,10101,0.9481119790808082,0.5022734371316631,0.5132252316323779,0.07867366903511482,0.009313304407124813,0.027803521779425393
xgb,42,DoS,6889,0.951651596390915,0.49777355156422076,0.5984053471089628,0.22372654155495977,0.011820919803397298,0.1824396782841823
xgb,42,Probe,1748,0.948589217874709,0.5051024311131002,0.691800979021194,0.23130937629078893,0.017782646774953604,0.13135068153655513
xgb,42,R2L,149,0.9644354405547687,0.5646545947042815,0.9996281969300894,0.9209705372616984,0.151879106460789,0.7951473136915078
xgb,42,U2R,7,inf,0.7342208489756297,0.98786723933691,0.0,0.20897271349976407,0.47761194029850745
xgb,512,Normal,10101,0.9520240457343696,0.4956100699268304,0.524798568682207,0.07115642055401092,0.009587941810290932,0.02790649778601586
xgb,512,DoS,6889,0.9492093428826783,0.49840956079710663,0.5905565481445025,0.2134048257372654,0.009990452749111681,0.17319034852546916
xgb,512,Probe,1748,0.935504624177863,0.4826736817109385,0.7032833535047444,0.2552664188351921,0.011225242713103802,0.15861214374225527
xgb,512,R2L,149,0.9417115730247759,0.4990489327710338,0.999617446273768,0.8967071057192374,0.1457614135934983,0.8835355285961872
xgb,512,U2R,7,inf,0.9067192668541161,0.9930211698005518,0.0,0.27340182063560403,0.3880597014925373
xgb,6021,Normal,10101,0.9496804627686066,0.5012847465700854,0.5265546200441307,0.07805581299557203,0.010667954388908375,0.027597569766244466
xgb,6021,DoS,6889,0.9513883161929667,0.5081606867532312,0.5985510007379781,0.20857908847184986,0.012104523876671344,0.1733243967828418
xgb,6021,Probe,1748,0.9461100925464417,0.5070935857060604,0.6467541146172218,0.21602643535729038,0.013255046753466258,0.16356877323420074
xgb,6021,R2L,149,0.9763824873241587,0.5016226891856492,0.9995988239366944,0.8797227036395148,0.1243255125829478,0.8651646447140381
xgb,6021,U2R,7,inf,0.7344083450485362,0.993449739627571,0.0,0.1724415173145025,0.43283582089552236
xgb,7,Normal,10101,0.9467988451518642,0.49891444086058867,0.5122855092578243,0.079600453094429,0.009742638554559186,0.027597569766244466
xgb,7,DoS,6889,0.9468190870010115,0.5015872083825894,0.5950409783097509,0.21568364611260055,0.01045896736205585,0.1742627345844504
xgb,7,Probe,1748,0.9419677925359354,0.4868137075020779,0.6465347522422761,0.23502684840974805,0.014127913015169961,0.14869888475836432
xgb,7,R2L,149,0.9776975578082095,0.47295670794545763,0.9997187912065217,0.9233968804159446,0.10321241577460102,0.9178509532062392
xgb,7,U2R,7,inf,0.5032353016290799,0.9866741688297115,0.0,0.19671702879504388,0.40298507462686567
xgb,88,Normal,10101,0.9540042085057795,0.503440909456046,0.5086664800690293,0.0685820203892493,0.009100491250594145,0.027494593759654
xgb,88,DoS,6889,0.9492314045344439,0.495038829842262,0.5994035123661731,0.21756032171581768,0.010860742141341771,0.17319034852546916
xgb,88,Probe,1748,0.947234861078858,0.5034214332614996,0.6684687944785432,0.2573316811235027,0.009595165717890652,0.1664601404378356
xgb,88,R2L,149,0.9746054690376141,0.5223897215519147,0.9995726378872752,0.8665511265164645,0.19377228559435467,0.8450606585788561
xgb,88,U2R,7,inf,0.8383424140236295,0.9867948995856349,0.0,0.14203621234975555,0.44776119402985076
xgb,91,Normal,10101,0.9499908621979154,0.5095737696926064,0.5115385313750623,0.07651117289671507,0.010239195538201296,0.02821542580578725
xgb,91,DoS,6889,0.9507014185957667,0.5047053803625131,0.5932975991103218,0.21474530831099195,0.010822271487528953,0.1725201072386059
xgb,91,Probe,1748,0.9497641135966752,0.5067155100528506,0.6288021975525045,0.21850475010326312,0.01094907458830289,0.17059066501445683
xgb,91,R2L,149,0.9845188768380259,0.5499105055365598,0.9996030379472222,0.8876949740034662,0.16701764878618164,0.8783362218370884
xgb,91,U2R,7,inf,0.6013126438657476,0.9848820653654615,0.0,0.11351105976219376,0.417910447761194
