dataset,arch,class,n_src,n_tgt,q_src,SHC_coverage,undercoverage,median_score_shift,q90_score_shift,score_KS,realization,rung,seed
ciciot2023:rung0.0,mlp,DDoS,68476,25918,0.5,0.9518,-0.0018,0.0,0.0,0.0031,0,0.0,2024
ciciot2023:rung0.0,mlp,DoS,25215,9624,0.5,0.9494,0.0006,0.0,0.0,0.013,0,0.0,2024
ciciot2023:rung0.0,mlp,Mirai,18953,7255,0.5,0.9496,0.0004,0.0,0.0,0.0015,0,0.0,2024
ciciot2023:rung0.0,mlp,Recon,23055,8685,0.7058,0.9498,0.0002,0.0006,0.0,0.0086,0,0.0,2024
ciciot2023:rung0.0,mlp,Spoofing,12575,4803,0.8882,0.9514,-0.0014,0.0,-0.0061,0.0127,0,0.0,2024
ciciot2023:rung0.0,mlp,Web,2135,811,0.9714,0.9436,0.0064,-0.0041,0.0029,0.0166,0,0.0,2024
ciciot2023:rung0.0,mlp,Benign,6299,2393,0.9506,0.9503,-0.0003,-0.0009,-0.0024,0.0262,0,0.0,3407
ciciot2023:rung0.0,mlp,BruteForce,1371,511,0.9923,0.9564,-0.0064,-0.0004,-0.0026,0.0487,0,0.0,3407
ciciot2023:rung0.0,mlp,DDoS,68476,25918,0.5,0.9509,-0.0009,0.0,0.0,0.0031,0,0.0,3407
ciciot2023:rung0.0,mlp,DoS,25215,9624,0.5,0.9498,0.0002,0.0,0.0,0.0097,0,0.0,3407
ciciot2023:rung0.0,mlp,Mirai,18953,7255,0.5,0.9488,0.0012,0.0,0.0,0.0025,0,0.0,3407
ciciot2023:rung0.0,mlp,Recon,23055,8685,0.703,0.9513,-0.0013,0.0003,0.0,0.0075,0,0.0,3407
ciciot2023:rung0.0,mlp,Spoofing,12575,4803,0.8852,0.9548,-0.0048,0.0,-0.0051,0.0126,0,0.0,3407
ciciot2023:rung0.0,mlp,Web,2135,811,0.9747,0.9411,0.0089,-0.0088,-0.0011,0.0355,0,0.0,3407
ciciot2023:rung0.0,mlp,Benign,6299,2393,0.9472,0.9561,-0.0061,0.0038,-0.0016,0.0281,0,0.0,42
ciciot2023:rung0.0,mlp,BruteForce,1371,511,0.989,0.9628,-0.0128,0.0035,-0.0017,0.0296,0,0.0,42
ciciot2023:rung0.0,mlp,DDoS,68476,25918,0.5,0.9513,-0.0013,0.0,0.0,0.0029,0,0.0,42
ciciot2023:rung0.0,mlp,DoS,25215,9624,0.4999,0.9504,-0.0004,0.0,0.0,0.01,0,0.0,42
ciciot2023:rung0.0,mlp,Mirai,18953,7255,0.4999,0.953,-0.003,0.0,0.0,0.0037,0,0.0,42
ciciot2023:rung0.0,mlp,Recon,23055,8685,0.7071,0.9492,0.0008,-0.0,0.0,0.0071,0,0.0,42
ciciot2023:rung0.0,mlp,Spoofing,12575,4803,0.8862,0.951,-0.001,0.0,-0.0171,0.0146,0,0.0,42
ciciot2023:rung0.0,mlp,Web,2135,811,0.9702,0.9539,-0.0039,-0.0061,-0.0015,0.027,0,0.0,42
ciciot2023:rung0.0,mlp,Benign,6299,2393,0.9468,0.9478,0.0022,0.0023,-0.0064,0.0241,0,0.0,512
ciciot2023:rung0.0,mlp,BruteForce,1371,511,0.9914,0.971,-0.021,-0.0124,-0.0009,0.0585,0,0.0,512
ciciot2023:rung0.0,mlp,DDoS,68476,25918,0.5,0.9502,-0.0002,0.0,0.0,0.0054,0,0.0,512
ciciot2023:rung0.0,mlp,DoS,25215,9624,0.4999,0.9506,-0.0006,0.0,0.0,0.009,0,0.0,512
ciciot2023:rung0.0,mlp,Mirai,18953,7255,0.4999,0.9493,0.0007,0.0,0.0,0.0044,0,0.0,512
ciciot2023:rung0.0,mlp,Recon,23055,8685,0.7061,0.9511,-0.0011,0.0002,0.0,0.0103,0,0.0,512
ciciot2023:rung0.0,mlp,Spoofing,12575,4803,0.8845,0.9526,-0.0026,0.0,-0.0014,0.0104,0,0.0,512
ciciot2023:rung0.0,mlp,Web,2135,811,0.9737,0.951,-0.001,-0.0057,-0.0051,0.0305,0,0.0,512
ciciot2023:rung0.0,mlp,Benign,6299,2393,0.9376,0.9552,-0.0052,0.0072,-0.0052,0.0285,0,0.0,6021
ciciot2023:rung0.0,mlp,BruteForce,1371,511,0.9907,0.9775,-0.0275,-0.0237,-0.0068,0.051,0,0.0,6021
ciciot2023:rung0.0,mlp,DDoS,68476,25918,0.5,0.9517,-0.0017,0.0,0.0,0.0022,0,0.0,6021
ciciot2023:rung0.0,mlp,DoS,25215,9624,0.5,0.9512,-0.0012,0.0,0.0,0.0049,0,0.0,6021
ciciot2023:rung0.0,mlp,Mirai,18953,7255,0.5,0.9479,0.0021,0.0,0.0,0.0009,0,0.0,6021
ciciot2023:rung0.0,mlp,Recon,23055,8685,0.6559,0.9473,0.0027,0.0009,0.0,0.0073,0,0.0,6021
ciciot2023:rung0.0,mlp,Spoofing,12575,4803,0.8805,0.9496,0.0004,0.0,-0.0028,0.0152,0,0.0,6021
ciciot2023:rung0.0,mlp,Web,2135,811,0.9706,0.9487,0.0013,0.003,-0.0038,0.0264,0,0.0,6021
ciciot2023:rung0.0,mlp,Benign,6299,2393,0.9438,0.9469,0.0031,-0.0001,0.001,0.0226,0,0.0,7
ciciot2023:rung0.0,mlp,BruteForce,1371,511,0.9927,0.9757,-0.0257,0.0049,-0.0052,0.0542,0,0.0,7
ciciot2023:rung0.0,mlp,DDoS,68476,25918,0.5,0.9496,0.0004,0.0,0.0,0.0039,0,0.0,7
ciciot2023:rung0.0,mlp,DoS,25215,9624,0.5,0.9511,-0.0011,-0.0,0.0,0.0058,0,0.0,7
ciciot2023:rung0.0,mlp,Mirai,18953,7255,0.5,0.9524,-0.0024,0.0,0.0,0.0059,0,0.0,7
ciciot2023:rung0.0,mlp,Recon,23055,8685,0.6773,0.9513,-0.0013,0.0002,-0.0,0.0088,0,0.0,7
ciciot2023:rung0.0,mlp,Spoofing,12575,4803,0.8786,0.9507,-0.0007,0.0,-0.0129,0.0125,0,0.0,7
ciciot2023:rung0.0,mlp,Web,2135,811,0.9775,0.9647,-0.0147,-0.0,-0.0102,0.0307,0,0.0,7
ciciot2023:rung0.0,mlp,Benign,6299,2393,0.9434,0.9528,-0.0028,0.0017,-0.002,0.0323,0,0.0,88
ciciot2023:rung0.0,mlp,BruteForce,1371,511,0.99,0.9679,-0.0179,-0.0085,-0.0052,0.0554,0,0.0,88
ciciot2023:rung0.0,mlp,DDoS,68476,25918,0.5,0.9502,-0.0002,0.0,0.0,0.0046,0,0.0,88
ciciot2023:rung0.0,mlp,DoS,25215,9624,0.4999,0.9522,-0.0022,0.0,0.0,0.0084,0,0.0,88
ciciot2023:rung0.0,mlp,Mirai,18953,7255,0.4999,0.9507,-0.0007,0.0,0.0,0.0016,0,0.0,88
ciciot2023:rung0.0,mlp,Recon,23055,8685,0.6871,0.9493,0.0007,0.0005,0.0,0.0098,0,0.0,88
ciciot2023:rung0.0,mlp,Spoofing,12575,4803,0.8848,0.9525,-0.0025,0.0001,0.011,0.0152,0,0.0,88
ciciot2023:rung0.0,mlp,Web,2135,811,0.9736,0.9625,-0.0125,-0.004,-0.0061,0.025,0,0.0,88
ciciot2023:rung0.0,mlp,Benign,6299,2393,0.944,0.9547,-0.0047,0.0069,-0.0016,0.0264,0,0.0,91
ciciot2023:rung0.0,mlp,BruteForce,1371,511,0.9914,0.9687,-0.0187,-0.0007,-0.002,0.0476,0,0.0,91
ciciot2023:rung0.0,mlp,DDoS,68476,25918,0.5,0.9501,-0.0001,0.0,0.0,0.0049,0,0.0,91
ciciot2023:rung0.0,mlp,DoS,25215,9624,0.4999,0.9501,-0.0001,0.0,0.0,0.0048,0,0.0,91
ciciot2023:rung0.0,mlp,Mirai,18953,7255,0.4999,0.9497,0.0003,0.0,0.0,0.0019,0,0.0,91
ciciot2023:rung0.0,mlp,Recon,23055,8685,0.6895,0.9506,-0.0006,0.0,0.0,0.0087,0,0.0,91
ciciot2023:rung0.0,mlp,Spoofing,12575,4803,0.8837,0.9521,-0.0021,0.0,-0.0079,0.0135,0,0.0,91
ciciot2023:rung0.0,mlp,Web,2135,811,0.9704,0.9483,0.0017,-0.0002,-0.0085,0.0243,0,0.0,91
ciciot2023:rung0.0,rf,Benign,6299,2393,0.934,0.9591,-0.0091,0.0,-0.0313,0.02,0,0.0,12345
ciciot2023:rung0.0,rf,BruteForce,1371,511,0.991,0.9675,-0.0175,-0.0282,-0.0047,0.0666,0,0.0,12345
ciciot2023:rung0.0,rf,DDoS,68476,25918,0.5,0.9485,0.0015,0.0,0.0,0.0011,0,0.0,12345
ciciot2023:rung0.0,rf,DoS,25215,9624,0.5,0.9489,0.0011,0.0,0.0,0.0013,0,0.0,12345
ciciot2023:rung0.0,rf,Mirai,18953,7255,0.5,0.9466,0.0034,0.0,0.0,0.0017,0,0.0,12345
ciciot2023:rung0.0,rf,Recon,23055,8685,0.6647,0.948,0.002,0.0002,0.0,0.0065,0,0.0,12345
ciciot2023:rung0.0,rf,Spoofing,12575,4803,0.8412,0.9542,-0.0042,0.0001,0.0054,0.0224,0,0.0,12345
ciciot2023:rung0.0,rf,Web,2135,811,0.9673,0.9517,-0.0017,-0.0008,0.0067,0.0384,0,0.0,12345
ciciot2023:rung0.0,rf,Benign,6299,2393,0.9388,0.9508,-0.0008,0.0003,-0.0345,0.0166,0,0.0,1337
ciciot2023:rung0.0,rf,BruteForce,1371,511,0.9892,0.9599,-0.0099,-0.0152,-0.0044,0.0569,0,0.0,1337
ciciot2023:rung0.0,rf,DDoS,68476,25918,0.5,0.9504,-0.0004,0.0,0.0,0.0009,0,0.0,1337
ciciot2023:rung0.0,rf,DoS,25215,9624,0.5,0.9519,-0.0019,0.0,0.0,0.0028,0,0.0,1337
ciciot2023:rung0.0,rf,Mirai,18953,7255,0.5,0.9508,-0.0008,0.0,0.0,0.0015,0,0.0,1337
ciciot2023:rung0.0,rf,Recon,23055,8685,0.6425,0.9474,0.0026,0.0002,0.0,0.0084,0,0.0,1337
ciciot2023:rung0.0,rf,Spoofing,12575,4803,0.8372,0.9482,0.0018,0.0002,0.0039,0.0199,0,0.0,1337
ciciot2023:rung0.0,rf,Web,2135,811,0.9627,0.9506,-0.0006,-0.0101,0.0022,0.0306,0,0.0,1337
ciciot2023:rung0.0,rf,Benign,6299,2393,0.9317,0.9561,-0.0061,0.0013,-0.0202,0.0155,0,0.0,2024
ciciot2023:rung0.0,rf,BruteForce,1371,511,0.9881,0.9454,0.0046,-0.0244,-0.0032,0.0566,0,0.0,2024
ciciot2023:rung0.0,rf,DDoS,68476,25918,0.5,0.9511,-0.0011,0.0,0.0,0.0019,0,0.0,2024
ciciot2023:rung0.0,rf,DoS,25215,9624,0.5,0.9501,-0.0001,0.0,0.0,0.0018,0,0.0,2024
ciciot2023:rung0.0,rf,Mirai,18953,7255,0.5,0.9491,0.0009,0.0,0.0,0.0017,0,0.0,2024
ciciot2023:rung0.0,rf,Recon,23055,8685,0.6431,0.9492,0.0008,0.0001,0.0,0.007,0,0.0,2024
ciciot2023:rung0.0,rf,Spoofing,12575,4803,0.8414,0.9477,0.0023,0.0001,0.0041,0.0227,0,0.0,2024
ciciot2023:rung0.0,rf,Web,2135,811,0.9684,0.9547,-0.0047,-0.0015,0.0055,0.0379,0,0.0,2024
ciciot2023:rung0.0,rf,Benign,6299,2393,0.9328,0.9596,-0.0096,0.0005,-0.021,0.0184,0,0.0,3407
ciciot2023:rung0.0,rf,BruteForce,1371,511,0.9888,0.9603,-0.0103,-0.0264,-0.0018,0.0657,0,0.0,3407
ciciot2023:rung0.0,rf,DDoS,68476,25918,0.5,0.9498,0.0002,0.0,0.0,0.0022,0,0.0,3407
ciciot2023:rung0.0,rf,DoS,25215,9624,0.5,0.9526,-0.0026,0.0,0.0,0.0013,0,0.0,3407
ciciot2023:rung0.0,rf,Mirai,18953,7255,0.5,0.9489,0.0011,0.0,0.0,0.0017,0,0.0,3407
ciciot2023:rung0.0,rf,Recon,23055,8685,0.6369,0.9481,0.0019,0.0,0.0,0.0085,0,0.0,3407
ciciot2023:rung0.0,rf,Spoofing,12575,4803,0.8364,0.9493,0.0007,0.0002,0.0093,0.0173,0,0.0,3407
ciciot2023:rung0.0,rf,Web,2135,811,0.9672,0.9538,-0.0038,0.0089,0.0076,0.0354,0,0.0,3407
ciciot2023:rung0.0,rf,Benign,6299,2393,0.9297,0.9545,-0.0045,0.0003,-0.0284,0.0162,0,0.0,42
ciciot2023:rung0.0,rf,BruteForce,1371,511,0.9895,0.9554,-0.0054,-0.0203,-0.0046,0.0531,0,0.0,42
ciciot2023:rung0.0,rf,DDoS,68476,25918,0.5,0.9509,-0.0009,0.0,0.0,0.001,0,0.0,42
ciciot2023:rung0.0,rf,DoS,25215,9624,0.5,0.9496,0.0004,0.0,0.0,0.0021,0,0.0,42
ciciot2023:rung0.0,rf,Mirai,18953,7255,0.5,0.9489,0.0011,0.0,0.0,0.0017,0,0.0,42
ciciot2023:rung0.0,rf,Recon,23055,8685,0.6298,0.9495,0.0005,0.0,0.0,0.0059,0,0.0,42
ciciot2023:rung0.0,rf,Spoofing,12575,4803,0.8401,0.9471,0.0029,0.0002,0.0092,0.0213,0,0.0,42
ciciot2023:rung0.0,rf,Web,2135,811,0.9721,0.9519,-0.0019,-0.0032,0.0062,0.0328,0,0.0,42
ciciot2023:rung0.0,rf,Benign,6299,2393,0.9307,0.9582,-0.0082,-0.0001,-0.0187,0.0132,0,0.0,512
ciciot2023:rung0.0,rf,BruteForce,1371,511,0.9874,0.9638,-0.0138,-0.0235,-0.0036,0.0632,0,0.0,512
ciciot2023:rung0.0,rf,DDoS,68476,25918,0.5,0.9509,-0.0009,0.0,0.0,0.0007,0,0.0,512
ciciot2023:rung0.0,rf,DoS,25215,9624,0.5,0.9511,-0.0011,0.0,0.0,0.0012,0,0.0,512
ciciot2023:rung0.0,rf,Mirai,18953,7255,0.5,0.9497,0.0003,0.0,0.0,0.0027,0,0.0,512
ciciot2023:rung0.0,rf,Recon,23055,8685,0.639,0.9491,0.0009,0.0,0.0,0.0059,0,0.0,512
ciciot2023:rung0.0,rf,Spoofing,12575,4803,0.8329,0.9496,0.0004,0.0,0.0082,0.0194,0,0.0,512
ciciot2023:rung0.0,rf,Web,2135,811,0.9615,0.9392,0.0108,-0.0001,0.0091,0.0438,0,0.0,512
ciciot2023:rung0.0,rf,Benign,6299,2393,0.9255,0.9573,-0.0073,-0.0002,-0.0233,0.022,0,0.0,6021
ciciot2023:rung0.0,rf,BruteForce,1371,511,0.9906,0.9624,-0.0124,-0.0233,-0.0065,0.0596,0,0.0,6021
ciciot2023:rung0.0,rf,DDoS,68476,25918,0.5,0.9511,-0.0011,0.0,0.0,0.0017,0,0.0,6021
ciciot2023:rung0.0,rf,DoS,25215,9624,0.5,0.9483,0.0017,0.0,0.0,0.0026,0,0.0,6021
ciciot2023:rung0.0,rf,Mirai,18953,7255,0.5,0.9506,-0.0006,0.0,0.0,0.002,0,0.0,6021
ciciot2023:rung0.0,rf,Recon,23055,8685,0.652,0.9461,0.0039,0.0001,0.0,0.0094,0,0.0,6021
ciciot2023:rung0.0,rf,Spoofing,12575,4803,0.8333,0.9476,0.0024,0.0002,0.0065,0.0242,0,0.0,6021
ciciot2023:rung0.0,rf,Web,2135,811,0.9662,0.9416,0.0084,-0.0107,0.01,0.0544,0,0.0,6021
ciciot2023:rung0.0,rf,Benign,6299,2393,0.9311,0.955,-0.005,0.0004,-0.0189,0.0174,0,0.0,7
ciciot2023:rung0.0,rf,BruteForce,1371,511,0.9913,0.9634,-0.0134,-0.032,-0.0009,0.0677,0,0.0,7
ciciot2023:rung0.0,rf,DDoS,68476,25918,0.5,0.9494,0.0006,0.0,0.0,0.0025,0,0.0,7
ciciot2023:rung0.0,rf,DoS,25215,9624,0.5,0.9485,0.0015,0.0,0.0,0.0011,0,0.0,7
ciciot2023:rung0.0,rf,Mirai,18953,7255,0.5,0.9499,0.0001,0.0,0.0,0.0015,0,0.0,7
ciciot2023:rung0.0,rf,Recon,23055,8685,0.6374,0.9476,0.0024,0.0001,0.0,0.0067,0,0.0,7
ciciot2023:rung0.0,rf,Spoofing,12575,4803,0.8341,0.9478,0.0022,0.0008,0.0189,0.0202,0,0.0,7
ciciot2023:rung0.0,rf,Web,2135,811,0.9628,0.9419,0.0081,-0.0025,0.0121,0.0416,0,0.0,7
ciciot2023:rung0.0,rf,Benign,6299,2393,0.9347,0.9586,-0.0086,0.0007,-0.0157,0.0123,0,0.0,88
ciciot2023:rung0.0,rf,BruteForce,1371,511,0.9906,0.954,-0.004,-0.0348,-0.0019,0.0626,0,0.0,88
ciciot2023:rung0.0,rf,DDoS,68476,25918,0.5,0.9506,-0.0006,0.0,0.0,0.0005,0,0.0,88
ciciot2023:rung0.0,rf,DoS,25215,9624,0.5,0.952,-0.002,0.0,0.0,0.0017,0,0.0,88
ciciot2023:rung0.0,rf,Mirai,18953,7255,0.5,0.9519,-0.0019,0.0,0.0,0.0018,0,0.0,88
ciciot2023:rung0.0,rf,Recon,23055,8685,0.6538,0.9521,-0.0021,0.0,0.0,0.0056,0,0.0,88
ciciot2023:rung0.0,rf,Spoofing,12575,4803,0.8329,0.9487,0.0013,0.0006,0.0192,0.0249,0,0.0,88
ciciot2023:rung0.0,rf,Web,2135,811,0.9654,0.9488,0.0012,0.0027,0.0099,0.0331,0,0.0,88
ciciot2023:rung0.0,rf,Benign,6299,2393,0.9323,0.952,-0.002,0.0008,-0.0193,0.021,0,0.0,91
ciciot2023:rung0.0,rf,BruteForce,1371,511,0.9899,0.9689,-0.0189,-0.03,-0.0082,0.066,0,0.0,91
ciciot2023:rung0.0,rf,DDoS,68476,25918,0.5,0.9491,0.0009,0.0,0.0,0.0013,0,0.0,91
ciciot2023:rung0.0,rf,DoS,25215,9624,0.5,0.9521,-0.0021,0.0,0.0,0.0025,0,0.0,91
ciciot2023:rung0.0,rf,Mirai,18953,7255,0.5,0.9499,0.0001,0.0,0.0,0.0017,0,0.0,91
ciciot2023:rung0.0,rf,Recon,23055,8685,0.6518,0.9494,0.0006,0.0,0.0,0.0048,0,0.0,91
ciciot2023:rung0.0,rf,Spoofing,12575,4803,0.8353,0.9469,0.0031,0.0002,0.0119,0.0227,0,0.0,91
ciciot2023:rung0.0,rf,Web,2135,811,0.9652,0.9523,-0.0023,-0.0064,0.0113,0.0491,0,0.0,91
ciciot2023:rung0.0,xgb,Benign,6299,2393,0.8944,0.9554,-0.0054,0.0,-0.0189,0.0136,0,0.0,12345
ciciot2023:rung0.0,xgb,BruteForce,1371,511,0.9867,0.9589,-0.0089,0.0,-0.0148,0.0522,0,0.0,12345
ciciot2023:rung0.0,xgb,DDoS,68476,25918,0.5,0.9498,0.0002,0.0,0.0,0.0002,0,0.0,12345
ciciot2023:rung0.0,xgb,DoS,25215,9624,0.5,0.9512,-0.0012,0.0,0.0,0.0007,0,0.0,12345
ciciot2023:rung0.0,xgb,Mirai,18953,7255,0.5,0.95,0.0,0.0,0.0,0.0007,0,0.0,12345
ciciot2023:rung0.0,xgb,Recon,23055,8685,0.599,0.9494,0.0006,0.0,0.0,0.0093,0,0.0,12345
ciciot2023:rung0.0,xgb,Spoofing,12575,4803,0.801,0.9503,-0.0003,0.0,0.0176,0.0166,0,0.0,12345
ciciot2023:rung0.0,xgb,Web,2135,811,0.9606,0.9566,-0.0066,-0.0,0.0047,0.0253,0,0.0,12345
ciciot2023:rung0.0,xgb,Benign,6299,2393,0.8867,0.9491,0.0009,0.0,-0.0055,0.0098,0,0.0,1337
ciciot2023:rung0.0,xgb,BruteForce,1371,511,0.9858,0.9767,-0.0267,0.0,-0.0114,0.0718,0,0.0,1337
ciciot2023:rung0.0,xgb,DDoS,68476,25918,0.5,0.9506,-0.0006,0.0,0.0,0.0002,0,0.0,1337
ciciot2023:rung0.0,xgb,DoS,25215,9624,0.5,0.95,-0.0,0.0,0.0,0.0005,0,0.0,1337
ciciot2023:rung0.0,xgb,Mirai,18953,7255,0.5,0.9489,0.0011,0.0,0.0,0.0003,0,0.0,1337
ciciot2023:rung0.0,xgb,Recon,23055,8685,0.5625,0.9478,0.0022,0.0,0.0,0.0084,0,0.0,1337
ciciot2023:rung0.0,xgb,Spoofing,12575,4803,0.8086,0.9481,0.0019,0.0,0.0155,0.0183,0,0.0,1337
ciciot2023:rung0.0,xgb,Web,2135,811,0.952,0.9543,-0.0043,0.0013,0.0038,0.035,0,0.0,1337
ciciot2023:rung0.0,xgb,Benign,6299,2393,0.8935,0.948,0.002,0.0,0.0111,0.0156,0,0.0,2024
ciciot2023:rung0.0,xgb,BruteForce,1371,511,0.9868,0.963,-0.013,0.0,-0.0065,0.0476,0,0.0,2024
ciciot2023:rung0.0,xgb,DDoS,68476,25918,0.5,0.9502,-0.0002,0.0,0.0,0.0003,0,0.0,2024
ciciot2023:rung0.0,xgb,DoS,25215,9624,0.5,0.9503,-0.0003,0.0,0.0,0.0007,0,0.0,2024
ciciot2023:rung0.0,xgb,Mirai,18953,7255,0.5,0.9487,0.0013,0.0,0.0,0.0004,0,0.0,2024
ciciot2023:rung0.0,xgb,Recon,23055,8685,0.5315,0.9487,0.0013,0.0,0.0,0.0096,0,0.0,2024
ciciot2023:rung0.0,xgb,Spoofing,12575,4803,0.8043,0.955,-0.005,0.0,0.0263,0.0275,0,0.0,2024
ciciot2023:rung0.0,xgb,Web,2135,811,0.9622,0.957,-0.007,0.0001,0.0018,0.0318,0,0.0,2024
ciciot2023:rung0.0,xgb,Benign,6299,2393,0.8885,0.9524,-0.0024,0.0,-0.015,0.0124,0,0.0,3407
ciciot2023:rung0.0,xgb,BruteForce,1371,511,0.9858,0.9571,-0.0071,0.0,-0.0115,0.0469,0,0.0,3407
ciciot2023:rung0.0,xgb,DDoS,68476,25918,0.5,0.9505,-0.0005,0.0,0.0,0.0002,0,0.0,3407
ciciot2023:rung0.0,xgb,DoS,25215,9624,0.5,0.9514,-0.0014,0.0,0.0,0.0009,0,0.0,3407
ciciot2023:rung0.0,xgb,Mirai,18953,7255,0.5,0.9498,0.0002,0.0,0.0,0.0003,0,0.0,3407
ciciot2023:rung0.0,xgb,Recon,23055,8685,0.537,0.9459,0.0041,0.0,0.0,0.0088,0,0.0,3407
ciciot2023:rung0.0,xgb,Spoofing,12575,4803,0.8015,0.9446,0.0054,0.0,0.0161,0.0099,0,0.0,3407
ciciot2023:rung0.0,xgb,Web,2135,811,0.9543,0.9635,-0.0135,0.0,-0.002,0.0346,0,0.0,3407
ciciot2023:rung0.0,xgb,Benign,6299,2393,0.8842,0.9571,-0.0071,0.0,0.0071,0.0151,0,0.0,42
ciciot2023:rung0.0,xgb,BruteForce,1371,511,0.986,0.9601,-0.0101,0.0,-0.012,0.0579,0,0.0,42
ciciot2023:rung0.0,xgb,DDoS,68476,25918,0.5,0.9507,-0.0007,0.0,0.0,0.0002,0,0.0,42
ciciot2023:rung0.0,xgb,DoS,25215,9624,0.5,0.9496,0.0004,0.0,0.0,0.0007,0,0.0,42
ciciot2023:rung0.0,xgb,Mirai,18953,7255,0.5,0.9497,0.0003,0.0,0.0,0.0005,0,0.0,42
ciciot2023:rung0.0,xgb,Recon,23055,8685,0.5644,0.9509,-0.0009,0.0,0.0,0.0124,0,0.0,42
ciciot2023:rung0.0,xgb,Spoofing,12575,4803,0.8067,0.9466,0.0034,0.0,0.0235,0.0188,0,0.0,42
ciciot2023:rung0.0,xgb,Web,2135,811,0.9559,0.9637,-0.0137,0.0007,0.0087,0.0314,0,0.0,42
ciciot2023:rung0.0,xgb,Benign,6299,2393,0.896,0.9555,-0.0055,0.0,-0.009,0.0105,0,0.0,512
ciciot2023:rung0.0,xgb,BruteForce,1371,511,0.9861,0.9622,-0.0122,0.0,-0.0091,0.0423,0,0.0,512
ciciot2023:rung0.0,xgb,DDoS,68476,25918,0.5,0.9497,0.0003,0.0,0.0,0.0003,0,0.0,512
ciciot2023:rung0.0,xgb,DoS,25215,9624,0.5,0.9512,-0.0012,0.0,0.0,0.0004,0,0.0,512
ciciot2023:rung0.0,xgb,Mirai,18953,7255,0.5,0.9512,-0.0012,0.0,0.0,0.0004,0,0.0,512
ciciot2023:rung0.0,xgb,Recon,23055,8685,0.5937,0.9475,0.0025,0.0,0.0,0.0106,0,0.0,512
ciciot2023:rung0.0,xgb,Spoofing,12575,4803,0.8102,0.9467,0.0033,0.0,0.0149,0.0127,0,0.0,512
ciciot2023:rung0.0,xgb,Web,2135,811,0.9503,0.9572,-0.0072,0.0002,0.001,0.0257,0,0.0,512
ciciot2023:rung0.0,xgb,Benign,6299,2393,0.8988,0.9577,-0.0077,0.0,-0.0108,0.0133,0,0.0,6021
ciciot2023:rung0.0,xgb,BruteForce,1371,511,0.9842,0.9603,-0.0103,0.0,-0.0093,0.0533,0,0.0,6021
ciciot2023:rung0.0,xgb,DDoS,68476,25918,0.5,0.9505,-0.0005,0.0,0.0,0.0002,0,0.0,6021
ciciot2023:rung0.0,xgb,DoS,25215,9624,0.5,0.9519,-0.0019,0.0,0.0,0.0005,0,0.0,6021
ciciot2023:rung0.0,xgb,Mirai,18953,7255,0.5,0.9485,0.0015,0.0,0.0,0.0002,0,0.0,6021
