dataset,realization,seed,arch,protocol,class,alpha,coverage,set_size,nominal
cicids2017,R1_holdout_Slowhttptest,1337,xgb,TSC,Benign,0.1,0.9007,0.9008,0.9
cicids2017,R1_holdout_Slowhttptest,1337,xgb,TSC,DoS,0.1,0.9085,0.9341,0.9
cicids2017,R1_holdout_Slowhttptest,1337,xgb,TSC,Benign,0.2,0.7996,0.7997,0.8
cicids2017,R1_holdout_Slowhttptest,1337,xgb,TSC,DoS,0.2,0.8069,0.83,0.8
cicids2017,R1_holdout_Slowhttptest,1337,xgb,SHC,Benign,0.05,0.9495,0.9497,0.95
cicids2017,R1_holdout_Slowhttptest,1337,xgb,SHC,DoS,0.05,0.9302,0.9571,0.95
cicids2017,R1_holdout_Slowhttptest,1337,xgb,SHC,Benign,0.1,0.8987,0.8988,0.9
cicids2017,R1_holdout_Slowhttptest,1337,xgb,SHC,DoS,0.1,0.8816,0.9072,0.9
cicids2017,R1_holdout_Slowhttptest,1337,xgb,SHC,Benign,0.2,0.7981,0.7982,0.8
cicids2017,R1_holdout_Slowhttptest,1337,xgb,SHC,DoS,0.2,0.7793,0.8023,0.8
cicids2017,R1_holdout_Slowhttptest,1337,mlp,REC,Benign,0.05,0.9509,0.9569,0.95
cicids2017,R1_holdout_Slowhttptest,1337,mlp,REC,DoS,0.05,0.9514,1.1652,0.95
cicids2017,R1_holdout_Slowhttptest,1337,mlp,REC,Benign,0.1,0.9004,0.9026,0.9
cicids2017,R1_holdout_Slowhttptest,1337,mlp,REC,DoS,0.1,0.9071,1.1153,0.9
cicids2017,R1_holdout_Slowhttptest,1337,mlp,REC,Benign,0.2,0.8007,0.8012,0.8
cicids2017,R1_holdout_Slowhttptest,1337,mlp,REC,DoS,0.2,0.796,0.9901,0.8
cicids2017,R1_holdout_Slowhttptest,1337,mlp,TSC,Benign,0.05,0.9504,0.9566,0.95
cicids2017,R1_holdout_Slowhttptest,1337,mlp,TSC,DoS,0.05,0.9536,1.1672,0.95
cicids2017,R1_holdout_Slowhttptest,1337,mlp,TSC,Benign,0.1,0.9003,0.9026,0.9
cicids2017,R1_holdout_Slowhttptest,1337,mlp,TSC,DoS,0.1,0.9085,1.1165,0.9
cicids2017,R1_holdout_Slowhttptest,1337,mlp,TSC,Benign,0.2,0.8005,0.801,0.8
cicids2017,R1_holdout_Slowhttptest,1337,mlp,TSC,DoS,0.2,0.8004,0.9946,0.8
cicids2017,R1_holdout_Slowhttptest,1337,mlp,SHC,Benign,0.05,0.9505,0.951,0.95
cicids2017,R1_holdout_Slowhttptest,1337,mlp,SHC,DoS,0.05,0.8358,1.0496,0.95
cicids2017,R1_holdout_Slowhttptest,1337,mlp,SHC,Benign,0.1,0.9,0.9004,0.9
cicids2017,R1_holdout_Slowhttptest,1337,mlp,SHC,DoS,0.1,0.7703,0.9784,0.9
cicids2017,R1_holdout_Slowhttptest,1337,mlp,SHC,Benign,0.2,0.8008,0.8011,0.8
cicids2017,R1_holdout_Slowhttptest,1337,mlp,SHC,DoS,0.2,0.6459,0.8399,0.8
cicids2017,R1_holdout_Slowhttptest,2024,rf,REC,Benign,0.05,0.9495,0.9502,0.95
cicids2017,R1_holdout_Slowhttptest,2024,rf,REC,DoS,0.05,0.9498,1.1975,0.95
cicids2017,R1_holdout_Slowhttptest,2024,rf,REC,Benign,0.1,0.899,0.8994,0.9
cicids2017,R1_holdout_Slowhttptest,2024,rf,REC,DoS,0.1,0.9085,1.1433,0.9
cicids2017,R1_holdout_Slowhttptest,2024,rf,REC,Benign,0.2,0.7994,0.7995,0.8
cicids2017,R1_holdout_Slowhttptest,2024,rf,REC,DoS,0.2,0.8026,1.0093,0.8
cicids2017,R1_holdout_Slowhttptest,2024,rf,TSC,Benign,0.05,0.9502,0.9509,0.95
cicids2017,R1_holdout_Slowhttptest,2024,rf,TSC,DoS,0.05,0.957,1.2048,0.95
cicids2017,R1_holdout_Slowhttptest,2024,rf,TSC,Benign,0.1,0.9003,0.9007,0.9
cicids2017,R1_holdout_Slowhttptest,2024,rf,TSC,DoS,0.1,0.9097,1.1449,0.9
cicids2017,R1_holdout_Slowhttptest,2024,rf,TSC,Benign,0.2,0.801,0.8012,0.8
cicids2017,R1_holdout_Slowhttptest,2024,rf,TSC,DoS,0.2,0.8037,1.0109,0.8
cicids2017,R1_holdout_Slowhttptest,2024,rf,SHC,Benign,0.05,0.9495,0.9498,0.95
cicids2017,R1_holdout_Slowhttptest,2024,rf,SHC,DoS,0.05,0.8805,1.1282,0.95
cicids2017,R1_holdout_Slowhttptest,2024,rf,SHC,Benign,0.1,0.8986,0.8988,0.9
cicids2017,R1_holdout_Slowhttptest,2024,rf,SHC,DoS,0.1,0.7909,1.0261,0.9
cicids2017,R1_holdout_Slowhttptest,2024,rf,SHC,Benign,0.2,0.7994,0.7996,0.8
cicids2017,R1_holdout_Slowhttptest,2024,rf,SHC,DoS,0.2,0.6693,0.8757,0.8
cicids2017,R1_holdout_Slowhttptest,2024,xgb,REC,Benign,0.05,0.95,0.9502,0.95
cicids2017,R1_holdout_Slowhttptest,2024,xgb,REC,DoS,0.05,0.9511,0.9839,0.95
cicids2017,R1_holdout_Slowhttptest,2024,xgb,REC,Benign,0.1,0.8994,0.8995,0.9
cicids2017,R1_holdout_Slowhttptest,2024,xgb,REC,DoS,0.1,0.8932,0.9239,0.9
cicids2017,R1_holdout_Slowhttptest,2024,xgb,REC,Benign,0.2,0.7993,0.7993,0.8
cicids2017,R1_holdout_Slowhttptest,2024,xgb,REC,DoS,0.2,0.7948,0.8224,0.8
cicids2017,R1_holdout_Slowhttptest,2024,xgb,TSC,Benign,0.05,0.9503,0.9504,0.95
cicids2017,R1_holdout_Slowhttptest,2024,xgb,TSC,DoS,0.05,0.9475,0.9803,0.95
cicids2017,R1_holdout_Slowhttptest,2024,xgb,TSC,Benign,0.1,0.8997,0.8998,0.9
cicids2017,R1_holdout_Slowhttptest,2024,xgb,TSC,DoS,0.1,0.8972,0.928,0.9
cicids2017,R1_holdout_Slowhttptest,2024,xgb,TSC,Benign,0.2,0.8003,0.8004,0.8
cicids2017,R1_holdout_Slowhttptest,2024,xgb,TSC,DoS,0.2,0.8035,0.8311,0.8
cicids2017,R1_holdout_Slowhttptest,2024,xgb,SHC,Benign,0.05,0.9498,0.9499,0.95
cicids2017,R1_holdout_Slowhttptest,2024,xgb,SHC,DoS,0.05,0.921,0.9538,0.95
cicids2017,R1_holdout_Slowhttptest,2024,xgb,SHC,Benign,0.1,0.8986,0.8987,0.9
cicids2017,R1_holdout_Slowhttptest,2024,xgb,SHC,DoS,0.1,0.8739,0.9047,0.9
cicids2017,R1_holdout_Slowhttptest,2024,xgb,SHC,Benign,0.2,0.7986,0.7987,0.8
cicids2017,R1_holdout_Slowhttptest,2024,xgb,SHC,DoS,0.2,0.7742,0.8018,0.8
cicids2017,R1_holdout_Slowhttptest,2024,mlp,REC,Benign,0.05,0.9499,0.9665,0.95
cicids2017,R1_holdout_Slowhttptest,2024,mlp,REC,DoS,0.05,0.9465,1.2115,0.95
