arch,seed,cls,n,p_true_median,frac_p_true_lt_001,frac_p_true_lt_1e6,accuracy,frac_confident_wrong
xgb,42,DoS,7460,1.0,0.1816353887399464,0.18136729222520107,0.8046916890080429,0.15871313672922252
xgb,42,Probe,2421,1.0,0.13176373399421726,0.1305245766212309,0.6802973977695167,0.17389508467575382
xgb,42,R2L,2885,0.001226993859745562,0.9175043327556326,0.3005199306759099,0.05164644714038128,0.8592720970537262
xgb,42,U2R,67,0.05524301156401634,0.47761194029850745,0.47761194029850745,0.08955223880597014,0.6716417910447762
xgb,512,Normal,9711,1.0,0.02677376171352075,0.02677376171352075,0.9699310060755844,0.027391617753063535
xgb,512,DoS,7460,1.0,0.1725201072386059,0.1722520107238606,0.8191689008042895,0.14128686327077747
xgb,512,Probe,2421,1.0,0.15819909128459314,0.157786038826931,0.6769929781082198,0.15613382899628253
xgb,512,R2L,2885,0.0009363295393995941,0.8835355285961872,0.22149046793760832,0.05684575389948007,0.8512998266897747
xgb,512,U2R,67,0.022900911048054695,0.3880597014925373,0.3880597014925373,0.13432835820895522,0.7313432835820896
xgb,6021,Normal,9711,1.0,0.02677376171352075,0.02677376171352075,0.9699310060755844,0.026979713726701677
xgb,6021,DoS,7460,1.0,0.17184986595174262,0.17184986595174262,0.814745308310992,0.1438337801608579
xgb,6021,Probe,2421,1.0,0.16356877323420074,0.16315572077653862,0.7174721189591078,0.16356877323420074
xgb,6021,R2L,2885,0.0008680555620230734,0.8641247833622183,0.19202772963604853,0.05684575389948007,0.8322357019064125
xgb,6021,U2R,67,0.0462491512298584,0.44776119402985076,0.43283582089552236,0.14925373134328357,0.7313432835820896
xgb,7,Normal,9711,1.0,0.02677376171352075,0.02677376171352075,0.9698280300689939,0.02677376171352075
xgb,7,DoS,7460,1.0,0.17386058981233243,0.1734584450402145,0.8087131367292225,0.14785522788203753
xgb,7,Probe,2421,1.0,0.1482858323007022,0.1482858323007022,0.7298636926889716,0.17761255679471294
xgb,7,R2L,2885,0.0009871668880805373,0.9223570190641248,0.32270363951473136,0.06967071057192374,0.8807625649913345
xgb,7,U2R,67,0.06008273363113403,0.40298507462686567,0.40298507462686567,0.08955223880597014,0.7313432835820896
xgb,88,Normal,9711,1.0,0.02677376171352075,0.02677376171352075,0.9699310060755844,0.02677376171352075
xgb,88,DoS,7460,1.0,0.17265415549597854,0.17265415549597854,0.8132707774798927,0.14584450402144772
xgb,88,Probe,2421,1.0,0.16563403552251135,0.16563403552251135,0.6939281288723668,0.2234613795952086
xgb,88,R2L,2885,0.0009157509193755686,0.844367417677643,0.1878682842287695,0.05580589254766031,0.882842287694974
xgb,88,U2R,67,0.051242630928754807,0.44776119402985076,0.44776119402985076,0.14925373134328357,0.746268656716418
xgb,91,Normal,9711,1.0,0.02677376171352075,0.02677376171352075,0.9699310060755844,0.02677376171352075
xgb,91,DoS,7460,1.0,0.17184986595174262,0.17158176943699732,0.8132707774798927,0.14597855227882037
xgb,91,Probe,2421,1.0,0.17059066501445683,0.1701776125567947,0.7360594795539034,0.16687319289549774
xgb,91,R2L,2885,0.000939849647693336,0.8790294627383015,0.2291161178509532,0.06031195840554593,0.8481802426343155
xgb,91,U2R,67,0.04212095960974693,0.417910447761194,0.417910447761194,0.14925373134328357,0.7313432835820896
